id;ordre;famille;sous_famille;tribu;sous_tribu;genre
1;Account Île-de-France generate;ROI Refined;morph;Frozen;Account Metal;a navigating
2;Cambridgeshire Borders Rhône-Alpes;virtual Licensed Saussaies;enhance;interfaces override IB;withdrawal bluetooth;scalable Fantastic
3;didactic;Computers Tenge withdrawal;calculating architectures withdrawal;morph Stagiaire fuchsia;Account;out-of-the-box
4;Berkshire;Île-de-France Analyste;Saint-Séverin Licensed;Account;Garden Coordinateur;AGP 5th
5;Sports a Granite;budgetary Lempira;open-source Stagiaire lavender;Consultant;Personal vortals Kwanza;wireless Concrete
6;interfaces;Hat;applications Home Unbranded;Synergized;Pants Cambridgeshire Car;SDD
7;Programmable Auto Lombards;Practical;cultivate stable Networked;TCP navigating;Toys;Danish
8;a mobile Producteur;function cross-platform c;Grocery Ingenieur teal;Account Proactive;Gabon collaboration;cross-media
9;disintermediate evolve Bretagne;a reboot Interface;architectures Gloves;analyzer;revolutionize Wooden Avon;tangible sticky Sausages
10;compressing;copy b;Tasty Cheese Practical;Integrated CSS;Shirt Unbranded Languedoc-Roussillon;Chair Licensed Chair
