id;ordre;famille
1;Regional evolve firmware;interface architect content
2;Connecticut HTTP;Awesome Granite Pants
3;back-end knowledge user;Clothing New Mexico Rustic
4;Mexican Peso Mexican Unidad de Inversion (UDI) human-resource;Georgia
5;Personal Loan Account Senior Isle;Wooden Gloves
6;target leading edge;impactful cutting-edge sensor
7;niches RAM;Frozen
8;Cambridgeshire Pizza;Bacon turn-key Checking Account
9;Legacy Panama olive;withdrawal calculate Tennessee
10;Guinea Mississippi;generating
