id;nom_latin;entretien;histoire;vitesse_croissance;exposition
1;b tolerance;circuit innovative;backing Licensed magenta;Car orchestrate;redundant reboot
2;Computer;wireless SCSI a;Buckinghamshire Gloves;transmitting;high-level optimizing
3;Future-proofed;Health Synchronised;Berkshire Account;Monsieur-le-Prince;Concrete
4;solid Bedfordshire;Small Account deploy;Market Automated Investment;green multi-byte Borders;Corse Account invoice
5;a deliverables Gloves;Bourgogne Extended deposit;Pants Fidji drive;deposit;Rubber back-end
6;b;JSON Fresh Mozambique;TCP;alarm Baby;parsing
7;workforce Bedfordshire Qatar;Rupiah Centre paradigm;markets;Mouffetard parallelism;niches
8;Chicken CSS;Soft;Pizza Home e-services;b;Bacon
9;Specialiste;pixel;Handmade;technologies;eyeballs Montorgueil Brunei
10;b c;overriding Cambodge one-to-one;Shoes;Sausages strategize;Tomé-et-Principe Sri
