id;regne;sous_regne;division;classe;sous_classe;ordre;famille;genre
1;Savings Account Colorado Synergistic;Intelligent Wooden Tuna;PCI;cyan Applications matrix;Infrastructure invoice Refined;Identity AI;Solutions Granite;Liberia Technician
2;SSL;Cambridgeshire Alley Euro;Metal;user-centric Cliff;secondary silver;Officer Home Loan Account pricing structure;modular dynamic enterprise;Small Steel Towels Naira
3;harness bypass;Regional calculating;Licensed Soft Table;Borders Mozambique;Buckinghamshire demand-driven compelling;stable;SSL Integration;payment
4;Facilitator pricing structure;Operations;Fantastic Soft Towels;Shoal;Avon Optimization Research;SMS e-enable;innovate;Towels
5;policy;USB;SMS Handcrafted Tactics;virtual Port;orchid Sleek Cotton Pants Massachusetts;wireless Belize Dollar Home Loan Account;Buckinghamshire holistic;tan
6;Intelligent Fresh Pizza Fantastic Beauty;bleeding-edge wireless;circuit;navigating Unbranded Plastic Shoes;haptic plum transmitting;encryption Rand Generic;digital;bandwidth Customer-focused
7;generate violet;strategy;program innovative;circuit Auto Loan Account;mint green 1080p salmon;Accountability;Fresh;Orchestrator
8;Total Reactive New Jersey;Gorgeous Steel Fish;Solomon Islands Dollar;Orchestrator;Engineer;Paradigm Intranet;Rubber;utilize Chair
9;Bedfordshire Maine Cotton;Books explicit Jewelery;Montana Borders monitor;Niue Tasty;Persistent RAM;Spurs e-enable auxiliary;Ergonomic Fresh Hat attitude system;Chair
10;Legacy wireless;Quetzal;backing up;Fresh;syndicate Regional;Bedfordshire;Savings Account;maroon calculating
